Symbol,Name
20MICRONS,20 Microns 
3IINFOTECH,3i Infotech 
3MINDIA,3M India 
A2ZMES,A2Z Maintenance & Engineering Services 
AANJANEYA,Aanjaneya Lifecare 
AARTIDRUGS,Aarti Drugs 
AARTIIND,Aarti Industries 
AARVEEDEN,Aarvee Denims & Exports 
ABAN,Aban Offshore 
ABB,ABB 
ABCIL,Aditya Birla Chemicals (India) 
ABGSHIP,ABG Shipyard 
ABIRLANUVO,Aditya Birla Nuvo 
ACC,ACC 
ACE,Action Construction Equipment 
ACKRUTI,Ackruti City 
ADANIENT,Adani Enterprises 
ACROPETAL,Acropetal Technologies 
ADANIPOWER,Adani Power 
ADFFOODS,ADF Foods 
ADHUNIK,Adhunik Metaliks 
ADORWELD,Ador Welding 
ADSL,Allied Digital Services 
ADVANIHOTR,Advani Hotels & Resorts (India) 
ADVANTA,Advanta India 
AEGISCHEM,Aegis Logistics 
AFL,Accel Frontline 
AFTEK,Aftek 
AGCNET,AGC Networks 
AGRODUTCH,Agro Dutch Industries 
AHLEAST,Asian Hotels (East) 
AHLUCONT,Ahluwalia Contracts (India) 
AHLWEST,Asian Hotels (West) 
AHMEDFORGE,Ahmednagar Forgings 
AIAENG,AIA Engineering 
AICHAMP,AI Champdany Industries 
AJANTPHARM,Ajanta Pharma 
AJMERA,Ajmera Realty & Infra India 
AKSHOPTFBR,Aksh Optifibre 
AKZOINDIA,Akzo Nobel India 
ALBK,Allahabad Bank
ALCHEM,Alchemist 
ALEMBICLTD,Alembic 
ALFALAVAL,Alfa Laval (India) 
ALICON,Alicon Castalloy 
ALKALI,Alkali Metals 
ALKYLAMINE,Alkyl Amines Chemicals 
ALLCARGO,Allcargo Global Logistics 
ALLSEC,Allsec Technologies 
ALMONDZ,Almondz Global Securities 
ALOKTEXT,Alok Industries 
ALPHAGEO,Alphageo (India) 
AMAR,Amar Remedies 
AMARAJABAT,Amara Raja Batteries 
ALPSINDUS,Alps Industries 
AMBIKCO,Ambika Cotton Mills 
AMBUJACEM,Ambuja Cements 
AMDIND,AMD Industries 
AMTEKAUTO,Amtek Auto 
AMTEKINDIA,Amtek India 
ANANTRAJ,Anant Raj Industries 
ANDHRABANK,Andhra Bank
ANDHRSUGAR,The Andhra Sugars 
ANGIND,ANG Industries 
ANIKINDS,Anik Industries 
ANDHRACEMT,Andhra Cements 
ANKURDRUGS,Ankur Drugs And Pharma 
ANSALAPI,Ansal Properties & Infrastructure 
ANSALHSG,Ansal Housing and Construction 
ANTGRAPHIC,Antarctica 
APARINDS,Apar Industries 
APCOTEXIND,Apcotex Industries 
APIL,Alstom Projects India 
APOLLOHOSP,Apollo Hospitals Enterprise 
APOLLOTYRE,Apollo Tyres 
APPAPER,The Andhra Pradesh Paper Mills 
APTECHT,Aptech 
AQUA,Aqua Logistics 
ARCHIDPLY,Archidply Industries 
ARCHIES,Archies 
AREVAT&D,Areva T&D India 
ARIES,Aries Agro 
ARIHANT,Arihant Foundations & Housing 
ARL,Arvind Remedies 
AROGRANITE,Aro Granite Industries 
ARROWTEX,Arrow Textiles 
ARSHIYA,Arshiya International 
ARSSINFRA,ARSS Infrastructure Projects 
ARVIND,Arvind 
ASAHIINDIA,Asahi India Glass 
ASAL,Automotive Stampings and Assemblies 
ASHAPURMIN,Ashapura Minechem 
ASHCONIUL,Ashco Niulab Industries 
ASHIANA,Ashiana Housing 
ASHIMASYN,Ashima 
ASHOKA,Ashoka Buildcon 
ASHOKLEY,Ashok Leyland 
ASIANELEC,Asian Electronics 
ASIANHOTNR,Asian Hotels (North) 
ASIANPAINT,Asian Paints 
ASIANTILES,Asian Granito India 
ASIL,Amit Spinning Industries 
ASSAMCO,Assam Company India 
ASTEC,Astec LifeSciences 
ASTERSILI,Aster Silicates 
ASTRAL,Astral Poly Technik 
ASTRAMICRO,Astra Microwave Products 
ASTRAZEN,AstraZeneca Pharma India 
ATFL,Agro Tech Foods 
ATLANTA,Atlanta 
ATLASCYCLE,Atlas Cycles (Haryana) 
ATNINTER,ATN International 
ATUL,Atul 
AURIONPRO,Aurionpro Solutions 
AUROPHARMA,Aurobindo Pharma 
AUSOMENT,Ausom Enterprise 
AUSTRAL,Austral Coke & Projects 
AUTOAXLES,Automotive Axles 
AUTOIND,Autoline Industries 
AUTOLITIND,Autolite (India) 
AVANTI,Avanti Feeds 
AVENTIS,Aventis Pharma 
AVTNPL,AVT Natural Products 
AXISBANK,Axis Bank 
AXIS-IT&T,Axis-IT&T 
BAGFILMS,B.A.G Films and Media 
BAJAJ-AUTO,Bajaj Auto 
BAJAJCORP,Bajaj Corp 
BAJAJELEC,Bajaj Electricals 
BAJAJFINSV,Bajaj Finserv 
BAJAJHIND,Bajaj Hindusthan 
BAJAJHLDNG,Bajaj Holdings & Investment 
BAJFINANCE,Bajaj Finance 
BALAJITELE,Balaji Telefilms 
BALAMINES,Balaji Amines 
BALKRISIND,Balkrishna Industries 
BALLARPUR,Ballarpur Industries 
BALMLAWRIE,Balmer Lawrie & Company 
BALPHARMA,Bal Pharma 
BALRAMCHIN,Balrampur Chini Mills 
BANARISUG,Bannari Amman Sugars 
